cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_134,unknown_135,unknown_136,unknown_87,unknown_90,activity_event,activity_event_group,activity_event_type,activity_local_timestamp,activity_num_sessions,activity_timestamp,activity_total_timer_time,activity_type,activity_unknown_7,device_ant_device_number,device_ant_network,device_ant_transmission_type,device_battery_status,device_battery_voltage,device_cum_operating_time,device_device_index,device_device_type,device_garmin_product,device_hardware_version,device_manufacturer,device_sensor_position,device_serial_number,device_software_version,device_source_type,device_timestamp,device_unknown_13,device_unknown_15,device_unknown_16,device_unknown_17,device_unknown_23,device_unknown_24,device_unknown_29,device_unknown_30,device_unknown_31,device_unknown_32,device_unknown_8,device_unknown_9
52,0.0,104.60000000000002,0.737,0.5,90,298105745,1446990036,26,2025-03-16 23:21:11,,176,90,0.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
53,1.16,104.60000000000002,1.25,0.5,91,298105786,1446989856,26,2025-03-16 23:21:12,,176,91,0.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
55,3.14,104.60000000000002,1.222,0.5,94,298105725,1446989627,26,2025-03-16 23:21:13,,176,94,0.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
0,8.88,104.60000000000002,1.549,0.0,90,298105493,1446988832,26,2025-03-16 23:21:15,,176,90,0.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
0,11.9,104.60000000000002,2.146,0.0,91,298105341,1446988437,26,2025-03-16 23:21:16,,176,91,0.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
90,27.83,104.60000000000002,4.217,0.0,95,298104418,1446986733,26,2025-03-16 23:21:20,,176,95,894.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
90,31.76,104.60000000000002,4.18,0.0,97,298104051,1446986470,26,2025-03-16 23:21:21,,176,97,894.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
90,39.35,104.60000000000002,4.245,0.0,100,298103229,1446986219,26,2025-03-16 23:21:23,,176,100,894.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
91,48.65,104.79999999999995,4.339,0.0,105,298102194,1446986583,26,2025-03-16 23:21:25,,176,105,894.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
91,63.06,104.79999999999995,4.339,0.0,108,298100911,1446987693,26,2025-03-16 23:21:28,,176,108,0.0,,activity,,stop,2025-03-17 07:34:57,1,2025-03-16 23:34:57,811.271,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-16 23:21:11,,,,,,,"(None, None, None, None, None, None)",,,,,
