cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_134,unknown_135,unknown_136,unknown_87,unknown_90,activity_event,activity_event_group,activity_event_type,activity_local_timestamp,activity_num_sessions,activity_timestamp,activity_total_timer_time,activity_type,activity_unknown_7,device_ant_device_number,device_ant_network,device_ant_transmission_type,device_battery_status,device_battery_voltage,device_cum_operating_time,device_device_index,device_device_type,device_garmin_product,device_hardware_version,device_manufacturer,device_sensor_position,device_serial_number,device_software_version,device_source_type,device_timestamp,device_unknown_13,device_unknown_15,device_unknown_16,device_unknown_17,device_unknown_23,device_unknown_24,device_unknown_29,device_unknown_30,device_unknown_31,device_unknown_32,device_unknown_8,device_unknown_9
52,0.87,101.0,1.12,0.0,87,298105447,1446992606,26,2025-02-17 23:22:24,,176,87,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
52,0.87,101.0,1.11,0.0,87,298105385,1446992599,26,2025-02-17 23:22:25,,176,87,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
86,15.3,100.79999999999995,2.062,0.5,86,298105442,1446990835,26,2025-02-17 23:22:30,,176,86,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
88,29.16,100.60000000000002,3.34,0.0,91,298105283,1446989084,26,2025-02-17 23:22:34,,176,91,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
88,33.28,100.39999999999998,3.322,0.0,94,298105185,1446988579,26,2025-02-17 23:22:35,,176,94,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
89,41.63,100.20000000000005,3.331,0.0,97,298104933,1446987619,26,2025-02-17 23:22:37,,176,97,894.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
89,49.45,100.0,3.34,0.0,100,298104405,1446986850,26,2025-02-17 23:22:39,,176,100,894.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
88,59.17,100.0,3.415,0.0,103,298103584,1446986117,26,2025-02-17 23:22:41,,176,103,,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
87,69.96,100.20000000000005,3.527,0.0,105,298102505,1446985636,27,2025-02-17 23:22:44,,176,105,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
87,75.64,100.20000000000005,3.536,0.0,110,298101898,1446985724,27,2025-02-17 23:22:46,,176,110,0.0,,activity,,stop,2025-02-18 07:54:49,1,2025-02-17 23:54:49,1923.228,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-02-17 23:22:24,,,,,,,"(None, None, None, None, None, None)",,,,,
